regions,4.25,4.26,4.27,4.28,4.29,4.30,5.01,5.02,5.03,5.04,5.05,5.06,5.07,5.08
01 - Bas-Saint-Laurent,29,48,50,58,59,42,26,32,49,23,66,45,63,48
02 - Saguenay – Lac-Saint-Jean,22,30,20,29,16,28,47,8,19,16,31,22,31,19
03 - Capitale-Nationale,110,111,116,117,109,123,87,84,75,89,67,56,74,62
04 - Mauricie-et-Centre-du-Quebec,31,27,31,21,58,35,32,26,37,46,38,65,38,44
05 - Estrie,32,27,57,61,50,62,40,47,48,53,55,70,86,77
06 - Montreal,223,195,294,273,297,308,277,206,190,255,212,194,204,282
07 - Outaouais,50,57,92,55,43,70,45,15,32,59,37,33,58,36
08 - Abitibi-Temiscamingue,2,1,0,0,0,0,0,0,0,1,0,0,2,1
09 - Cote-Nord,6,15,2,4,2,6,2,5,5,1,3,7,3,0
10 - Nord-du-Quebec,0,0,2,1,0,1,0,0,0,0,0,0,0,1
11 - Gaspesie – iles-de-la-Madeleine,0,4,2,5,0,5,1,4,5,10,4,11,14,11
12 - Chaudiere-Appalaches,82,109,128,109,117,104,117,99,121,120,107,137,123,112
13 - Laval,96,76,67,85,70,86,83,88,62,57,75,55,78,54
14 - Lanaudiere,43,42,40,53,37,46,35,35,33,34,38,40,23,27
15 - Laurentides,36,51,55,58,54,41,59,32,36,60,51,37,30,47
16 - Monteregie,124,101,140,112,129,135,155,116,83,88,120,140,131,138
17 - Nunavik,0,0,0,0,0,1,0,0,0,-1,0,0,0,0
18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,0,0,0,0,0,0,0,0,0
